ApplicationBorrowerEventSK,CreditReportId,ActiveCreditLimit,AverageBankRevolvingUtil,AverageChargeCardUtil,AverageCreditCardUtil,AverageCreditUnionUtil,AverageFinanceRevolveUtil,AverageHELOCUtil,AverageLineOfCreditUtil,AverageRetailUtil,AverageRevolveUtil,AvgActiveUnsecuredInstallmentInterestRate,AvgUnsecuredInstallmentInterestRate,AvgUtilization,hasActiveAutoLoan,hasActiveChargeAccount,HasActiveCreditCard,hasActiveHELOC,hasActiveInstallTrade,hasActiveLineofCredit,hasActiveMortgage,hasActiveSecuredInstallment,hasActiveStudentLoan,hasActiveUnsecuredInstallment,hasAutoLoan,HasCreditCard,hasHELOC,hasInstallTrade,hasLineofCredit,hasMortgage,hasSecuredInstallment,hasStudentLoan,hasUnsecuredInstallment,LatestActiveUnsecuredInstallmentInterestRate,LengthOfCreditHistory,MaxActiveUnsecuredInstallmentInterestRate,MaxBankRevolvingUtil,MaxChargeCardUtil,MaxCreditCardUtil,MaxCreditUnionUtil,MaxDelinquencyAmount,MaxFinanceRevolveUtil,MaxHELOCUtil,MaxLineOfCreditUtil,MaxRetailUtil,MaxRevolveUtil,MaxUnsecuredInstallmentInterestRate,MaxUtilization,MinActiveUnsecuredInstallmentInterestRate,MinBankRevolvingUtil,MinChargeCardUtil,MinCreditCardUtil,MinCreditUnionUtil,MinFinanceRevolveUtil,MinHELOCUtil,MinLineOfCreditUtil,MinRetailUtil,MinRevolveUtil,MinUnsecuredInstallmentInterestRate,MinUtilization,MonthsSinceLastestUnsecured,MonthsSinceMaxDelinquencyAmount,MonthsSinceMostMortgageDq,MonthsSinceMostRecentAutoDq,MonthsSinceMostRecentCreditCardDq,MonthsSinceMostRecentDq,MonthsSinceMostRecentInstallmentDq,MonthsSinceMostRecentRevolvingDq,MonthsSinceMostRecentStudentLoanDq,NumberActiveAutoLoan,NumberActiveCharge,NumberActiveCreditCard,NumberActiveHELOC,NumberActiveInstallmentTrades,NumberActiveLineofCredit,NumberActiveMortgage,NumberActiveSecuredInstallment,NumberActiveStudentLoan,NumberActiveTradelines,NumberActiveUnsecuredInstallment,NumberAutoLoan,NumberCreditCard,NumberHELOC,NumberInstallmentTrades,NumberLineofCredit,NumberMortgage,NumberofDqPast12M,NumberofDqTrades,NumberofMortgageDqPast12M,NumberofTradesSinceMostRecentDqPast24M,NumberofTradeswDq30DPDPast24M,NumberofTradeswDq90DPDPast24M,NumberSecuredInstallment,NumberStudentLoan,NumberTradelines,NumberTradeWithUtilAbove75,NumberUnsecuredInstallment,PercentageAccountEverDelinquent,TotalAmountBalanceOnCreditLines,TotalAmountCurrentBalance,TotalAmountPastDueTradelines ,TotalBalanceAmountofDqTrades,TotalCreditLimit,Vantage,WeightedAvgUtilization,DaysSinceMostRecentInquiryPast1M,MonthsSinceMostRecentInquiry,NumberFBInqs,NumberFBInqsPast12M,NumberFBInqsPast1M,NumberFBInqsPast3M,NumberFBInqsPast6M,NumberFBQInqs,NumberFBQInqsPast12M,NumberFBQInqsPast1M,NumberFBQInqsPast3M,NumberFBQInqsPast6M,NumberofBankInqs,NumberofBankInqsPast12M,NumberofBankInqsPast1M,NumberofBankInqsPast3M,NumberofBankInqsPast6M,NumberofCUnionInqs,NumberofCUnionInqsPast12M,NumberofCUnionInqsPast1M,NumberofCUnionInqsPast3M,NumberofCUnionInqsPast6M,NumberofFinanceInqs,NumberofFinanceInqsPast12M,NumberofFinanceInqsPast1M,NumberofFinanceInqsPast3M,NumberofFinanceInqsPast6M,NumberofInqs,NumberofInqsPast12M,NumberofInqsPast1M,NumberofInqsPast3M,NumberofInqsPast6M,HighestCollectionsAmount,HighestCollectionsAmountVerified12M,HighestNMCollectionsAmount,HighestNMCollectionsAmountVerified12M,MonthsSinceMostRecentCollection,MonthsSinceMostRecentNMCollection,NumberCollectionsAmountGreater100,NumberCollectionsPast12M,NumberCollectionsPast1to5year,NumberCollectionsPast6M,NumberNMCollections,NumberNMCollectionsBalanceGreater100,NumberNMCollectionsPast12M,NumberNMCollectionsPast1to5year,NumberNMCollectionsPast6M,NumberofCollections,TotalCollectionsAmount,TotalCollectionsAmountBalanceVerified12M,TotalNMCollectionsAmount,TotalNMCollectionsAmountVerified12M,AmountLiabilitiesBankruptcy,AmountLiabilitiesBankruptcyPast12M,AmountLiabilitiesBankruptcyPast6M,AmountLiabilitiesBankruptcyPast7Y,AmountLiabilitiesPublicRecords,AmountLiabilitiesPublicRecordsPast12M,AmountLiabilitiesPublicRecordsPast6M,AmountLiabilitiesPublicRecordsPast7Y,MonthsSinceMostRecentBankruptcy,MonthsSinceMostRecentPublicRecord,NumberofBankruptcy,NumberofBankruptcyPast12M,NumberofBankruptcyPast6M,NumberofBankruptcyPast7Y,NumberofPublicRecords,NumberofPublicRecordsPast12M,NumberofPublicRecordsPast6M,NumberofPublicRecordsPast7Y
125800404,20859259,106381,0,0.175733333,0,,0,0.996262024,,0.878666667,0.146444444,0.073166667,0.073166667,0.267846956,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,1,0.0599,4963,0.0902,0,0.878666667,0,,,0,0.996262024,,0.878666667,0.878666667,0.0902,0.996262024,0.0599,0,0,0,,0,0.996262024,,0.878666667,0,0.0599,0,999,,,,,,,,,0,5,3,1,3,0,1,0,0,13,3,4,3,2,9,0,1,0,0,0,0,0,0,0,2,21,2,3,,83141,282627,0,0,177587,727,0.781539937,,3.935650343,3,2,0,0,1,3,2,0,0,1,1,0,0,0,0,0,0,0,0,0,2,2,0,0,1,4,3,0,0,1,,,,,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,0,0,0,0,0,0,0,0
125871643,20882684,28600,0.154358599,,0.154358599,,,,,,0.154358599,,,0.154358599,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,0,1,0,,4789,,0.459703704,,0.459703704,,,,,,,0.459703704,,0.459703704,,0,,0,,,,,,0,,0,999,,,,21,21,,21,,0,0,3,0,1,0,0,0,1,4,0,2,4,1,3,1,6,0,1,0,4,1,0,0,1,17,0,0,1,6235,8336,0,29,89850,684,0.218006993,,2.374529027,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,,,,,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,0,0,0,0,0,0,0,0
125901368,20886888,15524,0,,0,,,,,,0,,,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1038,,0,,0,,,,,,,0,,0,,0,,0,,,,,,0,,0,999,,,,,,,,,0,3,6,0,0,0,0,0,0,9,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,,0,2231,0,0,31724,764,0,,15.02726183,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,,,,,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,0,0,0,0,0,0,0,0
126376000,21058809,38300,0.549088538,,0.549088538,,,0.952846154,0.90555,,0.549088538,,,0.616381474,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,,5787,,0.913125,,0.913125,,,,0.952846154,0.90555,,0.913125,,0.952846154,,0,,0,,,0.952846154,0.90555,,0,,0,999,,,,,,,,,2,2,8,1,2,1,1,0,0,15,0,8,8,1,9,1,2,0,0,0,0,0,0,0,0,26,3,0,,28988,325314,0,0,102600,654,0.756866841,,10.86460167,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,,,,,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,0,0,0,0,0,0,0,0
126582788,21136105,42500,0.313355556,0.1396,0.487111111,,,,,,0.313355556,,0.0975,0.313355556,1,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,0.0837,4758,,0.974222222,0.2792,0.974222222,,,,,,,0.974222222,0.0975,0.974222222,,0,0,0,,,,,,0,0.0975,0,999,57,,65,,65,65,,,1,3,3,0,2,0,2,0,1,10,0,6,3,0,10,0,2,0,1,0,0,0,0,0,3,19,1,1,1,6478,314084,0,0,55500,648,0.152423529,,6.094276756,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,,,,,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,0,0,0,0,0,0,0,0
128225350,21694074,1700,,0.067142857,,,,,,0.134285714,0.067142857,,,0.067142857,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,,1544,,,0.134285714,,,,,,,0.134285714,0.134285714,,0.134285714,,,0,,,,,,0.134285714,0,,0,999,,,,,,,,,1,3,3,0,1,0,0,0,0,7,0,2,3,0,2,0,0,0,0,0,0,0,0,0,0,8,0,0,,94,3964,0,0,23200,730,0.055294118,,20.08770387,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,,,,,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,0,0,0,0,0,0,0,0
128407484,21745823,51990,0.859985059,0.368641975,0.859985059,,,,,0,0.614313517,,0.119266667,0.614313517,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,9657,,0.959350649,0.737283951,0.959350649,,,,,,0,0.959350649,0.1332,0.959350649,,0.760619469,0,0.760619469,,,,,0,0,0.1119,0,999,,,,,,,,,0,3,2,0,2,0,0,0,0,7,0,9,3,0,17,0,0,0,0,0,0,0,0,1,0,26,2,3,,44115,132498,0,0,68240,659,0.848528563,,5.056576031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,,,,,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,0,0,0,0,0,0,0,0
129089154,22042930,65150,0.237642857,0.069606061,0.237642857,,,,,,0.153624459,,,0.153624459,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0.0422,6683,,0.472,0.208818182,0.472,,,,,,,0.472,,0.472,,0,0,0,,,,,,0,,0,999,,,,,,,,,1,3,5,0,1,0,1,0,0,10,0,8,11,0,10,0,2,0,0,0,0,0,0,0,0,32,0,0,,9918,149895,0,0,200474,806,0.152233308,,5.338482946,1,1,0,0,1,2,2,0,0,2,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,3,2,0,0,2,,,,,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,0,0,0,0,0,0,0,0
130671396,22608610,7000,0.974,,0.974,,,,,,0.974,,,0.974,0,1,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,,9788,,0.974,,0.974,,,,,,,0.974,,0.974,,0.974,,0.974,,,,,,0.974,,0.974,999,39,5,76,,5,76,,,0,1,2,0,0,0,1,0,0,5,0,1,7,1,2,0,2,1,3,1,0,0,1,0,0,19,1,0,1,6818,370021,0,359770,177601,656,0.974,,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,0,0,0,0,0,0,0,0
130880689,22675468,25800,0.843060606,0.480958333,0.843060606,,0.93675,,0.999655172,,0.625799242,,,0.688108564,1,1,1,0,1,1,1,0,0,0,1,1,0,1,1,1,0,1,0,,6768,,0.995454545,0.93675,0.995454545,,,0.93675,,0.999655172,,0.995454545,,0.999655172,,0.690666667,0,0.690666667,,0.93675,,0.999655172,,0,,0,999,,,,,,,,,2,4,3,0,2,1,2,0,0,12,0,6,3,0,9,2,2,0,0,0,0,0,0,0,3,21,3,0,,14957,340604,0,0,41700,652,0.579728682,6.381188275,0.209653201,6,2,0,0,2,6,2,0,0,2,4,1,0,0,1,0,0,0,0,0,2,1,0,0,1,9,4,1,1,4,90,90,,,6.222096988,999,0,1,0,0,0,0,0,0,0,1,90,90,0,0,0,0,0,0,0,0,0,0,999,999,0,0,0,0,0,0,0,0
